ID,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205,p206,p207,p208,p209,p210,p211,p212,p213,p214,p215,p216,p217,p218,p219,p220,p221,p222,p223,p224,p225,p226,p227,p228,p229,p230,p231,p232,p233,p234,p235,p236,p237,p238,p239,p240,p241,p242,p243,p244,p245,p246,p247,p248,p249,p250,p251,p252,p253,p254,p255,p256,p257,p258,p259,p260,p261,p262,p263,p264,p265,p266,p267,p268,p269,p270,p271,p272,p273,p274,p275,p276,p277,p278,p279,p280,p281,p282,p283,p284,p285,p286,p287,p288,p289,p290,p291,p292,p293,p294,p295,p296,p297,p298,p299,p300,p301,p302,p303,p304,p305,p306,p307,p308,p309,p310,p311,p312,p313,p314,p315,p316,p317,p318,p319,p320,p321,p322,p323,p324,p325,p326,p327,p328,p329,p330,p331,p332,p333,p334,p335,p336,p337,p338,p339,p340,p341,p342,p343,p344,p345,p346,p347,p348,p349,p350,p351,p352,p353,p354,p355,p356,p357,p358,p359,p360,p361,p362,p363,p364,p365
kurdilihicazkar--sarki--agiraksak--soyle_ey--rahmi_bey,340,335,340,349,349,349,349,358,362,358,349,349,349,340,327,335,358,349,340,335,335,327,327,327,327,327,340,335,318,318,318,318,313,318,335,340,349,353,349,340,327,318,243,353,349,340,340,349,353,349,349,349,349,353,349,340,335,340,349,349,349,243,243,353,349,349,243,243,353,349,340,353,371,362,353,349,340,331,327,331,349,340,331,340,327,331,331,331,331,243,340,331,327,318,318,309,300,287,287,331,318,318,318,318,243,327,309,300,300,318,318,309,300,300,296,296,296,340,335,340,349,349,349,243,243,353,349,349,243,243,353,349,340,353,371,362,353,349,340,331,327,331,349,340,331,327,327,331,331,331,331,243,340,331,327,318,318,309,300,287,287,331,318,318,318,318,243,327,309,300,300,318,318,309,300,300,296,296,296,318,313,318,327,327,327,243,318,318,327,327,318,309,331,331,331,331,327,327,318,318,309,243,331,327,309,300,300,296,296,296,296,243,243,354,349,340,335,327,335,340,354,366,371,366,354,349,335,327,243,353,349,340,340,349,353,349,349,349,349,353,349,340,335,340,349,349,349,243,243,353,349,349,243,243,353,349,340,353,371,362,353,349,340,331,327,331,349,340,331,327,327,331,331,331,331,349,340,331,327,318,318,309,300,287,287,331,318,318,318,318,243,327,309,300,300,318,318,309,300,300,296,296,296,340,335,340,349,349,349,243,243,353,349,349,243,243,353,349,340,353,371,362,353,349,340,331,327,331,349,340,331,327,327,331,331,331,331,349,340,331,327,318,318,300,300,287,287,331,318,318,318,318,243,327,309,300,300,318,318,309,300,300,296,296,296
kurdilihicazkar--sarki--aksak--baglandi_gonul--nasibin_mehmet_yuru,349,340,335,340,340,349,349,349,349,349,349,349,349,243,243,362,353,353,353,349,340,353,349,349,349,349,349,349,349,353,353,349,349,353,349,349,349,340,340,332,332,332,327,327,327,327,327,318,318,340,340,331,327,327,327,327,327,243,243,362,362,353,353,349,349,340,335,340,340,349,353,349,340,340,349,349,349,349,353,340,331,340,349,349,349,349,349,243,340,340,340,340,349,349,349,349,340,331,331,331,331,340,340,349,349,353,371,362,362,353,353,349,349,340,331,327,243,243,349,340,340,331,331,327,327,318,318,318,318,309,309,318,318,318,318,318,309,309,318,327,318,318,318,318,318,318,243,243,243,309,309,318,318,318,318,349,340,331,327,318,309,309,309,300,309,300,296,296,296,296,349,353,340,349,340,349,349,349,349,349,353,353,371,353,349,349,349,349,349,349,243,243,362,353,353,349,340,340,349,349,353,353,362,353,349,349,349,349,349,349,340,331,327,331,349,349,349,349,349,243,243,349,353,340,331,331,331,331,327,327,327,327,243,243,243,243,327,327,327,340,340,340,331,327,318,318,318,243,243,243,362,362,353,353,349,349,349,340,331,340,349,349,353,349,349,349,349,349,349,353,349,340,331,349,349,349,349,349,243,243,340,340,340,349,349,349,349,340,331,331,331,331,331,340,340,349,353,353,371,362,362,353,349,349,340,340,327,327,243,349,349,340,340,331,327,327,327,318,318,318,318,309,318,318,318,318,318,309,309,318,318,318,318,318,318,318,318,243,243,243,309,309,318,318,318,318,349,349,340,327,318,318,309,309,300,309,300,300,296,296,296,296,296,296,296
kurdilihicazkar--sarki--aksak--benden_kacarak--sukru_tunar,340,340,349,349,349,362,349,349,349,349,362,357,349,349,340,335,335,349,335,318,327,335,335,340,349,353,349,340,335,353,349,349,349,349,349,353,353,353,353,353,349,371,371,371,371,362,353,371,362,353,349,349,349,349,349,349,340,340,349,349,349,349,349,371,371,371,362,380,371,362,353,349,340,353,362,353,340,340,331,331,331,331,331,340,331,327,327,340,331,331,318,309,327,327,327,327,349,340,331,327,327,318,309,318,327,340,327,309,300,300,309,300,296,296,296,296,349,353,340,340,349,349,349,349,349,371,371,371,362,380,371,362,353,349,340,349,362,353,340,349,331,331,331,331,331,349,331,327,327,340,331,331,327,309,327,327,327,327,349,340,331,331,327,318,309,318,327,340,327,318,309,300,309,300,300,296,296,296,296,362,362,358,362,362,362,362,362,362,362,358,358,358,349,331,331,331,331,349,353,353,349,349,331,331,327,313,318,349,349,340,340,349,353,353,371,353,349,349,349,349,349,353,349,353,362,362,353,371,371,371,371,362,362,349,362,353,353,349,318,327,340,353,340,335,349,349,349,349,349,349,371,371,362,380,371,362,362,353,349,349,362,362,349,349,331,327,331,331,331,349,349,327,327,340,340,327,327,309,331,327,327,327,327,349,340,331,327,318,309,318,327,331,331,318,309,296,318,300,300,296,296,296,296,353,349,335,349,349,349,349,349,349,371,371,362,380,371,371,362,353,349,349,353,362,349,349,340,327,331,331,331,349,349,327,327,327,340,327,327,318,331,327,327,327,327,349,340,331,327,318,309,318,318,331,331,318,309,296,318,300,300,296,296,296,296
kurdilihicazkar--sarki--aksak--bir_gun--ferit_sidal,349,349,349,353,349,349,349,349,371,362,353,353,349,349,340,340,353,349,340,331,331,327,318,349,349,349,340,353,353,349,331,340,331,331,349,349,349,349,349,340,327,318,300,296,296,296,296,349,349,353,353,340,349,349,349,371,362,353,349,349,340,340,353,353,349,340,331,331,327,318,349,349,349,340,353,349,349,331,340,331,331,349,349,349,349,349,327,331,327,318,349,349,349,349,340,349,353,349,340,340,340,362,362,353,349,349,349,340,331,327,318,318,309,327,327,327,327,340,335,327,335,349,340,332,332,349,332,332,327,327,327,327,327,327,327,335,349,349,349,349,340,340,349,353,349,340,340,340,362,353,353,349,349,349,340,331,327,318,318,318,309,300,296,296,309,309,300,296,287,331,327,309,309,300,300,296,296,296,296,349,358,340,335,335,335,335,335,335,335,335,349,349,340,340,331,335,335,335,335,349,349,344,335,344,349,349,349,349,349,243,358,358,349,362,358,349,349,340,358,349,340,335,335,335,335,335,349,349,340,331,335,335,335,335,335,335,349,349,340,340,335,331,335,335,335,349,349,344,344,335,344,349,349,349,349,349,243,349,349,349,340,353,349,349,331,340,331,331,349,349,349,349,349,327,331,327,318,349,349,349,349,340,340,353,349,340,340,340,362,362,353,349,349,349,340,331,327,318,318,309,327,327,327,327,340,335,327,335,349,340,332,332,349,332,332,327,327,327,327,327,327,327,335,349,349,349,349,340,340,349,353,349,340,340,340,362,353,353,349,349,349,340,331,327,318,318,318,309,300,296,296,309,309,300,296,287,331,327,318,309,300,300,296,296,296
kurdilihicazkar--sarki--aksak--bunca_cevrinle--emin_ongan,296,327,243,340,349,349,362,362,362,354,349,340,349,357,362,243,362,354,354,349,357,349,340,327,318,318,335,340,349,349,340,340,349,349,349,243,335,327,335,318,318,335,340,349,349,340,327,309,296,309,349,340,349,349,349,362,362,362,354,340,349,357,362,362,243,362,354,349,349,349,349,332,318,318,335,340,349,349,349,335,340,349,349,243,340,327,335,318,318,335,340,340,349,349,353,340,340,349,349,243,340,349,349,349,353,353,340,327,318,327,332,340,243,340,331,327,318,309,296,296,300,300,300,296,331,318,309,318,309,300,300,300,318,309,296,309,296,296,340,349,340,327,309,318,327,309,318,309,300,296,296,296,353,340,335,349,349,243,340,349,349,349,340,353,340,331,318,327,332,340,243,340,331,327,318,318,296,296,300,300,300,296,300,327,309,318,309,300,300,300,300,309,296,309,296,296,340,349,340,331,309,318,327,327,309,309,300,296,296,296,340,340,327,327,327,243,331,327,327,327,335,340,349,358,340,340,331,327,327,327,335,340,340,345,340,340,335,340,340,340,340,340,358,362,340,327,335,340,340,340,332,327,332,318,335,340,349,349,340,340,340,331,327,327,340,327,327,327,327,340,349,349,358,340,331,327,327,327,327,335,340,340,345,340,327,340,340,340,345,345,345,362,349,340,335,340,340,340,332,327,332,318,318,335,340,349,349,353,340,335,349,349,243,340,349,349,349,340,353,340,331,318,327,332,340,243,340,331,327,318,318,296,296,300,300,300,296,300,327,309,318,309,300,300,300,300,309,296,309,296,296,340,349,340,331,309,318,327,327,309,309,300,296,296,296
kurdilihicazkar--sarki--aksak--def-i_nalis--tanburi_cemil_bey,349,340,349,349,349,331,331,327,335,340,349,349,358,340,335,335,340,340,349,340,335,327,243,318,335,340,340,331,318,340,327,309,318,318,318,327,327,309,309,300,296,331,318,300,296,243,349,340,349,349,362,331,327,327,335,340,349,349,362,349,335,335,340,340,349,340,335,327,327,318,335,340,340,331,318,340,327,309,318,318,318,327,318,309,318,300,296,331,318,300,296,296,243,340,349,349,366,349,349,349,349,340,327,318,327,331,340,331,331,327,327,327,340,327,327,318,327,340,340,349,243,243,353,349,331,327,318,327,340,353,349,353,349,349,349,349,318,340,243,349,331,327,327,340,349,349,349,340,331,318,327,331,331,327,313,318,327,327,327,327,327,243,349,331,327,309,300,296,296,287,331,318,318,309,318,309,318,300,296,296,296,335,349,349,243,349,331,327,327,331,349,349,349,340,331,318,243,331,340,327,313,318,327,327,327,327,331,243,349,331,327,309,309,296,296,287,331,318,318,309,318,327,318,300,296,296,296,358,371,362,362,358,371,362,349,358,362,362,362,358,358,340,243,358,349,331,331,318,327,327,340,327,327,327,318,340,335,349,349,243,366,349,340,327,318,327,340,349,349,366,349,349,349,349,349,331,349,349,340,327,327,331,349,349,349,349,331,327,243,331,340,327,318,318,327,327,327,327,331,327,349,340,327,318,309,296,296,287,331,318,318,309,318,327,318,309,300,296,296,340,340,349,349,349,340,327,318,331,349,349,349,349,331,327,243,327,340,327,318,318,327,327,327,327,340,327,349,340,327,318,309,300,296,287,331,318,318,309,327,327,309,309,300,296,296
kurdilihicazkar--sarki--aksak--demedim_hic--rakim_elkutlu,296,296,296,349,349,340,340,340,371,371,362,353,349,349,349,358,340,331,331,327,327,327,327,327,327,327,327,331,318,318,318,353,353,353,349,349,340,340,340,349,349,349,340,331,318,309,296,296,296,349,353,340,340,340,371,371,362,353,349,349,349,349,340,340,331,327,327,327,331,327,327,327,327,331,318,318,318,353,353,353,349,353,340,340,340,349,349,349,349,353,340,335,349,349,349,340,349,349,371,371,362,349,340,327,327,327,318,340,327,327,327,318,318,318,309,318,318,318,335,340,340,340,340,335,323,318,318,349,340,335,323,318,318,318,349,353,340,335,349,349,349,340,349,371,371,371,362,349,331,327,327,327,349,340,327,327,327,318,318,318,309,296,296,296,296,300,287,287,287,309,309,309,296,300,300,318,318,296,296,296,296,362,362,357,362,362,362,349,357,357,362,362,362,362,367,357,362,357,357,367,362,362,357,349,349,349,340,340,327,327,327,331,331,318,318,353,353,353,349,353,340,335,340,349,349,349,349,362,362,357,367,362,362,349,357,357,362,362,362,367,367,362,362,357,357,367,367,362,357,349,349,349,340,340,327,327,327,327,331,318,318,353,353,353,353,353,349,335,340,349,349,349,349,349,349,340,340,349,349,340,340,349,371,371,371,353,340,331,327,327,318,349,331,327,327,318,318,318,318,309,318,318,335,340,340,340,340,335,335,323,318,349,340,335,323,323,318,318,318,353,349,335,340,349,349,340,349,349,371,371,362,353,340,331,327,327,318,340,331,327,327,318,318,318,309,300,296,296,296,296,296,287,287,309,309,309,301,300,300,296,318,318,296,296,296
kurdilihicazkar--sarki--aksak--derdin_bana--lemi_atli,340,340,349,349,349,349,349,349,349,349,349,349,349,349,349,358,340,340,331,327,327,318,309,309,300,296,296,296,296,296,335,340,340,349,354,366,371,366,354,349,349,349,349,349,349,353,349,335,340,349,349,349,349,358,358,358,362,362,362,358,358,358,349,349,349,349,349,349,349,349,349,349,349,358,358,358,340,331,331,327,327,327,327,335,335,340,349,349,349,358,349,332,332,327,327,327,327,327,349,349,340,335,349,349,349,349,349,318,318,318,349,349,327,331,331,327,318,318,318,318,318,318,318,318,318,309,318,331,318,309,300,287,296,296,296,296,296,300,296,331,331,331,327,318,309,300,296,296,296,296,296,349,340,340,335,331,335,335,335,335,318,318,318,335,335,335,340,340,349,349,349,349,349,349,340,331,331,327,327,318,318,327,309,300,300,296,296,296,296,296,304,309,309,318,304,296,309,296,287,287,283,283,283,283,283,353,349,340,340,349,349,349,349,349,340,340,340,349,349,349,349,349,349,349,349,349,349,371,349,349,349,340,331,327,318,318,309,300,300,296,296,296,296,335,335,340,349,349,354,371,371,354,354,349,349,349,349,349,349,353,340,335,340,349,349,349,349,358,358,362,362,362,358,358,358,349,349,349,349,349,349,349,349,349,349,349,358,358,358,340,340,331,327,327,327,327,327,335,340,340,349,349,349,349,340,332,327,327,327,327,327,327,353,349,340,340,349,349,349,349,318,318,318,349,349,349,331,331,331,318,318,318,318,318,318,318,318,318,309,309,318,327,318,300,296,287,296,296,296,296,300,300,296,331,331,331,327,318,300,300,296,296,296,296,296
kurdilihicazkar--sarki--aksak--etmeyin_gozlerinizden--ismail_baha_surelsan,296,296,296,349,349,349,349,349,349,353,331,349,349,349,362,362,362,371,353,371,362,362,353,371,371,362,362,349,340,340,340,349,327,331,318,318,371,362,353,349,349,349,340,327,318,300,243,243,296,296,296,349,349,349,349,349,340,353,340,331,349,349,362,362,362,371,362,371,371,362,353,371,371,371,362,353,340,340,340,349,340,331,327,318,318,362,353,349,349,349,353,349,349,340,349,349,349,340,349,353,353,340,331,327,318,309,327,327,331,318,318,349,349,362,362,362,353,349,349,349,340,340,340,340,340,349,331,327,327,327,318,309,327,318,318,318,318,309,318,318,318,318,331,331,331,327,327,318,309,318,327,309,309,300,296,296,296,296,296,340,340,340,340,349,349,349,349,331,327,340,331,331,327,318,327,327,309,300,300,296,296,296,371,371,371,371,371,371,371,371,371,371,371,349,349,358,340,335,335,335,371,371,366,366,366,358,358,366,358,349,349,340,340,340,340,340,335,335,335,318,335,335,327,335,318,318,318,318,340,353,331,349,349,349,349,349,349,349,349,340,340,340,331,349,349,353,353,340,331,331,331,362,362,353,371,371,371,362,353,340,340,340,349,340,327,327,318,318,362,353,349,349,349,353,349,349,331,349,349,349,340,349,353,353,340,331,327,318,309,327,327,331,331,318,349,349,362,362,362,353,349,349,349,340,340,340,340,340,349,331,327,318,327,318,309,327,318,318,318,318,309,318,318,318,318,318,331,331,327,327,318,309,318,327,309,309,300,296,296,296,296,296,340,340,340,340,349,349,349,349,331,327,340,340,331,327,318,327,327,309,309,300,296,296,296
kurdilihicazkar--sarki--aksak--gam_cekti--muzehher_guyer,340,340,349,349,349,349,349,353,349,349,340,340,331,327,327,327,309,309,318,327,327,331,340,340,331,349,349,353,353,353,353,349,349,353,340,340,353,362,362,349,349,349,349,349,349,331,327,318,300,296,296,296,243,243,340,340,349,349,349,349,362,353,349,349,340,340,331,327,327,318,309,309,318,327,331,331,340,331,340,349,353,353,353,353,353,349,353,349,331,349,353,362,353,349,349,349,349,349,349,353,349,331,340,349,349,349,243,349,349,340,331,331,331,340,340,353,349,349,340,331,331,327,327,318,309,318,318,327,327,327,327,327,327,243,300,300,300,300,300,296,300,296,287,296,300,309,300,296,296,296,296,296,349,349,340,331,349,349,349,243,243,349,340,340,331,331,331,340,353,353,349,340,340,331,327,327,327,309,309,318,327,327,327,327,327,327,243,243,300,300,300,300,296,296,296,287,287,300,309,309,296,296,296,296,296,296,331,327,318,318,327,327,327,243,243,318,318,327,327,327,327,327,340,331,331,327,318,318,309,318,327,309,300,296,296,296,296,296,296,296,243,318,318,318,331,331,340,349,349,353,362,362,353,353,349,349,349,349,349,340,331,318,309,318,327,327,327,243,318,318,327,327,327,327,327,327,340,331,331,327,318,318,309,318,327,300,300,296,296,296,296,296,296,243,243,318,318,318,331,340,340,349,353,353,362,353,353,353,349,349,349,349,349,349,349,340,331,349,349,349,243,243,349,340,340,331,331,331,340,353,353,349,340,340,331,327,327,318,309,309,318,327,327,327,327,327,327,243,243,300,300,300,300,296,296,296,287,287,300,309,309,296,296,296,296
kurdilihicazkar--sarki--aksak--gidelim_goksuya--lavtaci_hristo,296,309,318,335,335,340,349,349,349,358,332,318,358,358,340,349,332,327,327,318,331,327,243,318,332,349,340,349,340,331,327,318,318,318,309,327,327,309,318,300,296,296,331,309,296,243,296,309,327,335,335,340,349,349,340,340,332,318,358,358,340,340,332,327,327,318,331,327,243,318,332,349,340,349,340,327,327,318,318,318,309,327,327,318,309,300,296,296,331,309,296,243,296,349,349,344,332,349,349,344,349,349,349,349,349,354,344,331,331,327,327,327,327,327,327,327,313,327,344,349,366,354,354,349,344,313,296,349,354,344,332,344,349,349,349,349,349,349,349,354,349,331,331,327,327,318,331,327,327,327,313,318,332,344,354,366,354,349,349,349,340,349,371,362,349,340,340,340,327,331,331,331,327,331,331,327,331,318,327,340,327,327,340,340,318,318,309,296,300,309,300,296,296,353,335,349,349,362,353,340,331,349,331,331,331,331,327,331,331,331,349,318,327,340,327,327,335,349,327,309,309,300,300,318,309,300,296,362,362,362,362,362,362,358,358,349,332,344,349,349,243,349,354,349,349,349,243,344,344,344,349,327,349,353,353,349,349,371,366,354,349,349,362,371,362,358,362,362,349,349,344,344,349,349,349,344,354,349,349,349,243,344,344,344,349,332,332,353,353,353,349,353,366,354,354,349,349,335,349,349,371,353,349,331,349,331,331,331,331,331,331,331,331,349,327,327,318,331,327,335,349,331,309,318,300,296,318,309,300,296,296,349,340,349,371,362,349,340,340,340,327,331,331,331,327,331,331,327,331,318,327,340,327,327,340,340,318,318,309,296,300,309,300,296,296
kurdilihicazkar--sarki--aksak--gul_yuzunde--erol_sayan,353,349,353,349,349,349,340,349,362,243,362,349,331,318,349,349,331,243,349,331,318,327,349,340,327,309,327,331,318,300,296,309,296,296,327,349,243,340,327,318,331,349,331,309,318,340,327,309,300,300,296,296,318,349,243,349,349,349,349,362,362,357,349,349,340,335,327,335,340,349,340,340,349,243,340,340,340,243,349,340,327,318,296,309,327,340,331,327,327,309,318,331,331,327,331,331,318,327,318,318,243,340,335,335,335,349,349,354,354,243,353,353,354,331,340,340,340,340,349,349,327,327,331,331,331,327,331,318,318,318,309,318,243,331,349,331,318,243,300,287,309,296,296,309,340,349,353,353,349,340,327,340,340,327,331,349,349,327,340,327,331,331,340,327,318,318,318,309,318,327,340,340,327,309,300,296,287,300,296,296,296,296,243,362,349,362,371,340,340,340,340,340,371,353,340,327,349,349,318,340,243,353,340,318,327,349,331,318,309,327,340,327,300,296,309,296,300,331,349,349,331,318,327,349,340,327,309,327,331,318,309,300,300,296,296,327,349,243,349,349,349,349,362,362,357,349,349,349,340,327,335,349,349,349,349,340,340,340,335,340,349,349,331,318,318,296,309,327,340,327,327,331,318,327,331,331,327,331,331,318,327,309,318,340,335,327,340,340,349,349,354,354,353,353,349,340,327,340,340,335,340,349,349,327,327,331,331,331,327,331,318,318,318,309,318,327,340,340,327,309,300,296,287,300,296,296,318,349,243,353,353,349,340,327,340,340,335,340,349,349,327,340,327,331,331,340,327,318,318,318,318,243,331,349,331,318,243,300,287,309,296,296,296,287,296
kurdilihicazkar--sarki--aksak--gun_dogmayacak--musa_sureyya_bey,309,309,331,331,353,349,349,371,362,353,349,340,331,331,331,309,309,309,331,340,353,349,327,318,318,331,318,309,300,296,296,243,309,309,331,340,353,349,349,371,362,353,349,340,331,331,318,309,309,331,331,340,340,340,327,318,327,327,318,309,296,296,296,243,243,340,340,349,349,353,349,331,318,349,349,349,349,349,243,349,349,340,331,327,318,327,340,349,358,331,327,327,327,327,327,318,327,327,327,327,327,331,318,318,318,362,349,340,349,331,331,327,327,243,353,335,349,349,335,349,349,340,349,349,353,349,340,327,318,327,349,340,331,327,327,327,318,318,318,327,318,318,243,327,318,331,340,349,353,340,327,318,309,318,318,309,309,300,296,296,296,349,349,336,349,340,340,349,340,340,349,349,353,349,340,318,327,335,349,340,331,327,327,327,318,318,318,318,318,318,327,327,327,331,340,349,353,331,327,318,327,309,318,300,309,300,296,296,296,362,358,371,362,358,362,362,358,362,362,362,362,371,380,380,380,371,362,362,362,243,358,362,362,362,362,358,358,358,358,349,371,358,349,349,349,349,340,349,349,349,349,340,335,327,327,318,362,349,335,349,335,327,327,327,349,349,335,349,340,340,349,349,340,349,349,353,349,340,327,327,335,349,340,331,327,327,327,318,318,318,327,318,318,243,327,327,331,340,349,353,340,327,318,327,318,318,300,309,300,296,296,296,349,340,340,358,340,349,349,340,349,349,349,353,340,331,318,327,335,349,340,327,327,327,327,318,309,318,318,318,243,327,327,327,331,340,353,349,331,327,309,318,309,318,318,300,300,296,331,318,309,300,296,296,296
kurdilihicazkar--sarki--aksak--her_gece--bimen_sen,349,349,349,349,349,243,327,327,327,327,327,318,318,318,318,318,243,309,296,296,296,296,362,358,349,340,327,243,340,327,331,327,318,309,331,327,309,300,300,296,296,309,335,349,349,349,349,349,349,349,327,327,327,327,327,243,318,318,318,318,318,243,300,296,296,296,296,362,349,349,340,327,243,340,327,331,318,318,331,327,327,300,300,296,296,296,318,340,349,349,318,349,349,349,349,358,362,358,344,349,243,349,358,362,358,349,362,362,362,358,358,340,349,340,331,327,327,327,327,327,318,318,243,358,349,340,335,332,327,327,327,349,349,349,349,349,349,349,349,340,340,349,331,327,331,327,331,340,331,318,327,318,318,309,327,318,318,327,309,300,296,296,296,296,296,282,287,243,327,318,309,300,300,296,296,362,358,362,362,362,362,362,362,362,358,358,362,349,349,349,349,349,380,380,380,371,371,380,362,358,362,358,362,371,362,358,340,349,340,331,327,327,318,349,349,340,349,332,327,327,340,332,349,349,349,349,349,349,349,340,340,340,331,331,243,327,349,340,327,309,327,318,318,318,318,318,318,309,300,296,296,243,296,300,287,283,287,327,318,309,309,318,296,296,296,309,340,349,243,349,358,358,362,358,349,349,362,349,349,349,349,349,349,358,362,358,349,362,362,362,362,358,358,349,349,358,362,349,349,340,340,332,327,327,327,318,358,349,340,340,332,332,327,340,332,332,340,349,340,340,349,349,349,349,340,340,349,340,327,331,331,327,331,340,331,318,327,318,318,309,318,318,318,327,300,300,296,296,296,300,296,282,287,287,318,318,309,300,300,296,296,327,318,296,296
